,RollNo,SGPA,CGPA,STM,CC,DWDM,LP,ML,Project-I,LP Lab,STM Lab,Semester
185,19N31A05F3,8.29,8.79,A,B+,A,B+,A,O,O,O,4-1-CSE
186,19N31A05F4,7.57,8.39,A,B+,B+,B+,B,A+,A+,A+,4-1-CSE
187,19N31A05F5,8.0,8.30,A,B+,B+,B+,B+,O,O,O,4-1-CSE
188,19N31A05F6,6.57,6.79,B,C,C,B,B,A+,A+,A+,4-1-CSE
189,19N31A05F7,,,A,A,B+,A,F,O,O,A+,4-1-CSE
190,19N31A05F8,8.29,8.62,A,A,B+,A,B+,O,O,O,4-1-CSE
191,19N31A05F9,7.43,7.87,B+,B,B+,B+,B+,A+,A+,A+,4-1-CSE
192,19N31A05G0,7.57,7.57,B+,B+,B,A,B+,A+,A+,A+,4-1-CSE
193,19N31A05G1,8.36,8.81,A,A,A,A,B+,O,O,A+,4-1-CSE
194,19N31A05G2,8.14,8.11,A,A,A,B+,B,O,O,O,4-1-CSE
195,19N31A05G3,7.64,7.23,A,B,B,B+,B+,O,O,A+,4-1-CSE
196,19N31A05G4,8.5,9.07,A+,B+,A+,A+,B+,A+,A+,O,4-1-CSE
200,19N31A05G5,,,F,B+,F,F,B,A+,A+,A+,4-1-CSE
201,19N31A05G6,7.79,8.39,B+,B+,B+,A,B+,A+,A+,O,4-1-CSE
202,19N31A05G7,8.07,8.17,A,A,B+,B+,B+,O,O,A+,4-1-CSE
203,19N31A05G8,8.29,8.74,A,A,B+,A,B+,O,O,O,4-1-CSE
204,19N31A05G9,7.71,8.49,A,B+,B+,A,B,A+,A+,A+,4-1-CSE
205,19N31A05H0,8.14,8.13,A,A,B+,B+,B+,O,O,O,4-1-CSE
206,19N31A05H1,7.86,7.93,A,A,B,A,B+,A+,A+,A+,4-1-CSE
207,19N31A05H2,8.14,8.28,A,B+,B+,A,B+,O,O,O,4-1-CSE
208,19N31A05H3,8.86,8.79,A,A,A+,A+,A,O,O,O,4-1-CSE
209,19N31A05H4,7.86,8.25,A,B,B+,B+,B+,O,O,O,4-1-CSE
210,19N31A05H5,7.71,8.53,B+,B+,A,B+,B+,A+,A+,A+,4-1-CSE
211,19N31A05H6,8.07,8.36,A,A,B+,A,B+,A+,A+,O,4-1-CSE
212,19N31A05H7,7.29,7.42,A,B+,B,B,B,A+,A+,A+,4-1-CSE
